"Catégorie"	"Niveau"	"Libellé"	"juste"	"faux1"	"faux2"	"faux3"	"faux4"	"feedback"
"ABC"	1	"La panne est dûe à la vétusté de l'appareil."	"incorrect"	"correct"				"due"
"ABC"	1	"Tous nos produits sont testés avant leur mise sur le marché."	"correct"	"incorrect"				
"ABC"	1	"Le nouveau stagiaire est un bon communiquant"	"incorrect"	"correct"				"communicant"
"ABC"	1	"N'hésitez pas à nous contactez."	"incorrect"	"correct"				"contacter"
"ABC"	1	"Henry a ôté le language familier du texte de son devoir."	"incorrect"	"correct"				"langage"
"ABC"	1	"Il faut rendre le rapport de stage dès que demandé."	"correct"	"incorrect"				
"ABC"	1	"Le reponsable a réparti les taches."	"incorrect"	"correct"				"tâches"
"ABC"	1	"L'équipe attend l'arrivée du responsable."	"correct"	"incorrect"				
"ABC"	1	"Deux milles tracs orange sont distribués."	"incorrect"	"correct"				"mille"
"ABC"	1	"Ce stage est plus tôt bien payé."	"incorrect"	"correct"				"plutôt"
"ABC"	1	"Personne ne le croit jamais."	"correct"	"incorrect"				
"ABC"	1	"Expliquez-vous de vive voie !"	"incorrect"	"correct"				"voix"
"ABC"	1	"Le cheval a parcouru quelque 20 kilomètres."	"correct"	"incorrect"				
"ABC"	1	"Les voitures rouge foncées sont garées dans la rue."	"incorrect"	"correct"				"foncé"
"ABC"	1	"Tâchez de résoudre ce différent stupide."	"incorrect"	"correct"				"différend"
"ABC"	1	"On progresse en se fessant confiance."	"incorrect"	"correct"				"faisant"
"ABC"	1	"Il faut pallier aux inconvénients du bruit."	"incorrect"	"correct"				"pallier les"
"ABC"	1	"Jean a acheté des fleur."	"incorrect"	"correct"				"fleurs"
"ABC"	1	"J'offrirai ce bouquet à Brigitte."	"correct"	"incorrect"				
"ABC"	1	"Dans ce champ de maïs les ouvriers chantent en travaillant."	"correct"	"incorrect"				
"ABC"	1	"Les documents ci-joints  sont les derniers."	"correct"	"incorrect"				
"ABC"	1	"Je vous envoie le colis tout dessuite"	"incorrect"	"correct"				"de suite"
"ABC"	1	"La connection à internet laisse à désirer !"	"incorrect"	"correct"				"connexion"
"ABC"	1	"Ces neuf cent euros suffiront pour l'achat de cette voiture."	"incorrect"	"correct"				"cents"
"ABC"	1	"Le chéquier est sensé suffire pour le paiement."	"incorrect"	"correct"				"censé"
"ABC"	1	"L'étudiant n'est pas prêt de passer l'oral."	"incorrect"	"correct"				"près de"
"ABC"	1	"La commande est dispensée de frais de porc."	"incorrect"	"correct"				"port"
"ABC"	1	"La plupart des devoirs rendus sont corrects."	"correct"	"incorrect"				
"ABC"	1	"Aucune des brasseries contrôlées n'était hors-la-loi."	"correct"	"incorrect"				
"ABC"	1	"Pense à indiquer ton nom et ton adresse sur le bordereau d'envoi."	"correct"	"incorrect"				
"ABC"	1	"Cet espèce d'idiot a tenté de négocier avec le policier !"	"incorrect"	"correct"				"cette"
"ABC"	1	"Le nombre de candidats croît sans cesse."	"correct"	"incorrect"				
"ABC"	1	"Ils tablent sur un bénéfice de 1.5 millions d'euros"	"incorrect"	"correct"				"million"
"ABC"	1	"Si vous contrefaites les documents, vous aurez des ennuis !"	"correct"	"incorrect"				
"ABC"	1	"Nous avons rencontré beaucoup d'avatars durant notre voyage."	"incorrect"	"correct"				"avatar=double"
"ABC"	1	"Tu es sensé arriver à 8 heures !"	"incorrect"	"correct"				"censé"
